ObjectID,Name,StartDepotName,EndDepotName,EarliestStartTime,LatestStartTime,Capacities,CostPerUnitTime,CostPerUnitDistance,CostPerUnitOvertime,OvertimeStartTime,MaxOrderCount,MaxTotalTime,AssignmentRule,SpecialtyNames,Description,TechnicianRating,Team
1,Technician001,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Richardson,4.52,Richardson
2,Technician002,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Dallas_North,3.95,Dallas_North
3,Technician003,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Las_Colinas,4.66,Las_Colinas
4,Technician004,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing Electrical,Synthetic technician routed from Depot_Plano,4.39,Plano
5,Technician005,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Frisco,3.36,Frisco
6,Technician006,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Arlington,4.86,Arlington
7,Technician007,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Garland,4.49,Garland
8,Technician008,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_McKinney,4.54,McKinney
9,Technician009,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Richardson,3.42,Richardson
10,Technician010,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Dallas_North,3.97,Dallas_North
11,Technician011,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Las_Colinas,3.83,Las_Colinas
12,Technician012,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC Plumbing,Synthetic technician routed from Depot_Plano,4.78,Plano
13,Technician013,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Frisco,4.29,Frisco
14,Technician014,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Arlington,4.6,Arlington
15,Technician015,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Garland,3.95,Garland
16,Technician016,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical Controls,Synthetic technician routed from Depot_McKinney,3.59,McKinney
17,Technician017,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Richardson,4.14,Richardson
18,Technician018,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Dallas_North,3.31,Dallas_North
19,Technician019,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Las_Colinas,4.61,Las_Colinas
20,Technician020,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Plano,4.27,Plano
21,Technician021,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Frisco,4.49,Frisco
22,Technician022,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Arlington,3.8,Arlington
23,Technician023,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Garland,4.85,Garland
24,Technician024,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing Electrical,Synthetic technician routed from Depot_McKinney,4.72,McKinney
25,Technician025,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Richardson,4.52,Richardson
26,Technician026,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Dallas_North,3.53,Dallas_North
